date,production
08/17/2012,334713
08/10/2012,340125
08/3/2012,343824
07/27/2012,347599
07/20/2012,354121
07/13/2012,351404
07/6/2012,352213
06/29/2012,357068
06/22/2012,361338
06/15/2012,361471
06/8/2012,358610
06/1/2012,358801
05/25/2012,360564
05/18/2012,358351
05/11/2012,357468
05/4/2012,355340
04/27/2012,350051
04/20/2012,347211
04/13/2012,343233
04/6/2012,339377
03/30/2012,336811
03/23/2012,327802
03/16/2012,320700
03/9/2012,321862
03/2/2012,320112
02/24/2012,319264
02/17/2012,315104
02/10/2012,313471
02/3/2012,313642
01/27/2012,313351
01/20/2012,309176
01/13/2012,305618
01/6/2012,309056
12/30/2011,307231
12/23/2011,305022
12/16/2011,301123
12/9/2011,311693
12/2/2011,313625
11/25/2011,312476
11/18/2011,308544
11/11/2011,314763
11/4/2011,315819
10/28/2011,317407
10/21/2011,315581
10/14/2011,310846
10/7/2011,315575
09/30/2011,314342
09/23/2011,319021
09/16/2011,317106
09/9/2011,324442
09/2/2011,331146
08/26/2011,335107
08/19/2011,329826
08/12/2011,332039
08/5/2011,327806
07/29/2011,332927
07/22/2011,331977
07/15/2011,329681
07/8/2011,333408
07/1/2011,336532
06/24/2011,337405
06/17/2011,341780
06/10/2011,343491
06/3/2011,346897
05/27/2011,351529
05/20/2011,348651
05/13/2011,348035
05/6/2011,348050
04/29/2011,344418
04/22/2011,340997
04/15/2011,334841
04/8/2011,337163
04/1/2011,335536
03/25/2011,333920
03/18/2011,330975
03/11/2011,328844
03/4/2011,327099
02/25/2011,324722
02/18/2011,325086
02/11/2011,324264
02/4/2011,323404
01/28/2011,321573
01/21/2011,318979
01/14/2011,314143
01/7/2011,311526
12/31/2010,313918
12/24/2010,318079
12/17/2010,319337
12/10/2010,324670
12/3/2010,334524
11/26/2010,338658
11/19/2010,337592
11/12/2010,336563
11/5/2010,343849
10/29/2010,347394
10/22/2010,345444
10/15/2010,340437
10/8/2010,339770
10/1/2010,340186
09/24/2010,337343
09/17/2010,337818
09/10/2010,336848
09/3/2010,339337
08/27/2010,341105
08/20/2010,337680
08/13/2010,333572
08/6/2010,334390
07/30/2010,337388
07/23/2010,340172
07/16/2010,332864
07/9/2010,332504
07/2/2010,337562
06/25/2010,342606
06/18/2010,344613
06/11/2010,342596
06/4/2010,340906
05/28/2010,342581
05/21/2010,344483
05/14/2010,342023
05/7/2010,341861
04/30/2010,339942
04/23/2010,337187
04/16/2010,335224
04/9/2010,333330
04/2/2010,335532
03/26/2010,333386
03/19/2010,330457
03/12/2010,323212
03/5/2010,322200
02/26/2010,320730
02/19/2010,316696
02/12/2010,313662
02/5/2010,310577
01/29/2010,308283
01/22/2010,305966
01/15/2010,309854
01/8/2010,310325
01/1/2010,306626
12/25/2009,307969
12/18/2009,309507
12/11/2009,314348
12/4/2009,318037
11/27/2009,321832
11/20/2009,319741
11/13/2009,318722
11/6/2009,319609
10/30/2009,317821
10/23/2009,321757
10/16/2009,320979
10/9/2009,319667
10/2/2009,319333
09/25/2009,320467
09/18/2009,317671
09/11/2009,314816
09/4/2009,319545
08/28/2009,325351
08/21/2009,325723
08/14/2009,325595
08/7/2009,333992
07/31/2009,331296
07/24/2009,329626
07/17/2009,324474
07/10/2009,326270
07/3/2009,329083
06/26/2009,331784
06/19/2009,335444
06/12/2009,339312
06/5/2009,343186
05/29/2009,347582
05/22/2009,344716
05/15/2009,350129
05/8/2009,352234
05/1/2009,356863
04/24/2009,355909
04/17/2009,351856
04/10/2009,347999
04/3/2009,342328
03/27/2009,340912
03/20/2009,338068
03/13/2009,334766
03/6/2009,332824
02/27/2009,332309
02/20/2009,333066
02/13/2009,332349
02/6/2009,332487
01/30/2009,327868
01/23/2009,320698
01/16/2009,314480
01/9/2009,308380
01/2/2009,307236
12/26/2008,301142
12/19/2008,300593
12/12/2008,303694
12/5/2008,303169
11/28/2008,302817
11/21/2008,303273
11/14/2008,295993
11/7/2008,294394
10/31/2008,294444
10/24/2008,294390
10/17/2008,293897
10/10/2008,290715
10/3/2008,285104
09/26/2008,276912
09/19/2008,272634
09/12/2008,274154
09/5/2008,280482
08/29/2008,286362
